Trade_ID,Price,Quantity,Trade_Date
1,98.2,5,2023-03-02
2,95.36,57,2023-03-26
3,95.6,2,2023-01-15
4,95.24,38,2023-03-12
5,100.97,57,2023-01-27
6,98.58,58,2023-02-03
7,102.16,9,2023-02-26
8,99.52,16,2023-02-04
9,102.64,48,2023-03-20
10,104.08,8,2023-03-04
11,99.49,13,2023-01-08
12,102.98,54,2023-02-13
13,101.61,98,2023-02-22
14,103.64,89,2023-02-22
15,99.55,52,2023-01-22
16,103.0,36,2023-01-16
17,96.56,9,2023-02-03
18,99.43,4,2023-01-05
19,97.92,5,2023-02-10
20,103.46,80,2023-01-05
21,101.72,11,2023-02-23
22,100.0,5,2023-03-13
23,104.41,81,2023-01-01
24,98.7,70,2023-02-10
25,95.67,85,2023-02-23
26,98.85,48,2023-02-12
27,101.88,20,2023-01-28
28,98.98,44,2023-02-20
29,104.55,24,2023-02-05
30,99.91,53,2023-03-17
31,99.15,22,2023-01-22
32,97.32,59,2023-03-01
33,98.96,8,2023-02-15
34,99.06,7,2023-02-08
35,101.61,12,2023-01-19
36,100.9,7,2023-02-01
37,98.87,79,2023-01-07
38,103.67,4,2023-01-27
39,102.0,14,2023-03-21
40,96.75,37,2023-03-16
41,97.86,61,2023-01-08
42,99.58,55,2023-02-26
43,103.74,62,2023-01-06
44,95.52,46,2023-01-01
45,104.14,92,2023-01-28
46,100.04,5,2023-01-15
47,102.94,24,2023-02-01
48,97.43,62,2023-02-09
49,100.88,16,2023-01-10
50,96.79,72,2023-01-05
51,104.69,99,2023-01-09
52,97.47,69,2023-03-27
53,104.09,51,2023-03-11
54,102.31,12,2023-02-11
55,104.88,27,2023-03-13
56,103.12,78,2023-01-10
57,101.77,4,2023-01-19
58,102.28,98,2023-02-25
59,95.23,9,2023-01-24
60,104.6,83,2023-03-03
61,96.65,50,2023-01-09
62,101.17,13,2023-02-26
63,101.3,42,2023-02-02
64,98.84,8,2023-03-24
65,103.48,66,2023-03-30
66,98.36,30,2023-03-19
67,95.86,1,2023-03-28
68,102.53,45,2023-02-08
69,97.73,5,2023-02-04
70,95.73,5,2023-02-09
71,96.3,14,2023-01-21
72,104.0,92,2023-02-17
73,101.45,37,2023-01-02
74,103.11,74,2023-03-25
75,104.62,69,2023-02-21
76,101.98,5,2023-03-05
77,97.96,80,2023-03-11
78,99.45,85,2023-01-09
79,101.63,63,2023-02-02
80,97.95,92,2023-02-14
81,104.29,32,2023-04-01
82,97.43,75,2023-01-24
83,103.26,85,2023-01-09
84,97.42,64,2023-02-25
85,104.55,20,2023-01-05
86,95.3,55,2023-01-29
87,103.32,21,2023-03-04
88,98.1,17,2023-01-08
89,101.31,66,2023-01-14
90,101.79,18,2023-02-20
91,99.46,6,2023-02-12
92,104.42,67,2023-03-12
93,103.17,29,2023-03-06
94,104.19,74,2023-01-30
95,99.03,55,2023-01-29
96,102.83,62,2023-01-30
97,104.36,41,2023-01-15
98,99.93,14,2023-01-18
99,96.02,13,2023-03-03
100,95.78,23,2023-01-25
101,100.95,75,2023-01-25
102,99.87,28,2023-01-18
103,97.33,24,2023-03-19
104,96.97,92,2023-01-15
105,96.63,70,2023-02-05
106,101.97,88,2023-02-25
107,100.55,18,2023-03-11
108,103.23,14,2023-02-27
109,100.86,79,2023-03-01
110,96.19,44,2023-01-13
111,102.61,83,2023-03-28
112,96.25,13,2023-03-16
113,98.88,67,2023-01-19
114,97.92,50,2023-03-18
115,96.47,50,2023-03-19
116,102.97,12,2023-03-11
117,99.79,24,2023-02-04
118,99.1,23,2023-01-12
119,98.04,69,2023-01-18
120,96.86,33,2023-02-05
121,102.1,57,2023-01-13
122,104.11,51,2023-03-27
123,96.38,98,2023-01-17
124,102.58,17,2023-01-27
125,103.03,69,2023-03-11
126,101.85,14,2023-01-01
127,103.28,95,2023-01-11
128,96.08,89,2023-03-30
129,102.38,11,2023-03-03
130,96.49,39,2023-03-28
131,101.73,34,2023-03-04
132,102.61,1,2023-03-10
133,99.64,38,2023-02-04
134,104.68,74,2023-02-03
135,97.3,90,2023-02-04
136,97.33,22,2023-03-10
137,103.18,91,2023-01-18
138,96.84,10,2023-02-05
139,96.99,41,2023-01-07
140,104.57,30,2023-01-19
141,98.58,12,2023-01-31
142,98.3,86,2023-03-17
143,101.9,30,2023-02-20
144,101.05,46,2023-04-01
145,101.85,16,2023-03-22
146,97.04,51,2023-01-13
147,103.32,8,2023-02-21
148,96.56,63,2023-02-02
149,102.57,60,2023-01-12
150,96.38,58,2023-02-02
151,102.93,64,2023-03-01
152,101.42,1,2023-03-07
153,101.61,11,2023-03-25
154,100.26,40,2023-01-05
155,103.09,37,2023-01-29
156,99.19,61,2023-02-26
157,101.13,57,2023-01-12
158,97.18,99,2023-01-19
159,98.62,64,2023-01-25
160,102.29,23,2023-02-04
161,95.04,13,2023-01-08
162,97.27,27,2023-03-01
163,98.84,45,2023-02-07
164,99.19,10,2023-02-27
165,98.97,94,2023-01-30
166,99.87,8,2023-02-06
167,99.62,63,2023-02-11
168,95.73,86,2023-02-26
169,100.7,58,2023-01-22
170,95.24,61,2023-02-28
171,104.16,85,2023-03-28
172,97.07,48,2023-03-19
173,99.22,74,2023-01-17
174,97.88,14,2023-01-18
175,100.16,63,2023-01-03
176,99.33,46,2023-01-23
177,96.74,94,2023-03-12
178,102.79,70,2023-02-14
179,102.79,77,2023-03-10
180,101.02,99,2023-02-13
181,103.79,7,2023-02-23
182,95.48,65,2023-01-14
183,96.27,97,2023-01-12
184,100.36,67,2023-02-21
185,96.49,71,2023-02-08
186,101.86,36,2023-03-20
187,100.96,14,2023-03-19
188,101.6,93,2023-03-31
189,101.05,95,2023-03-15
190,96.48,17,2023-01-31
191,103.83,58,2023-02-19
192,102.27,54,2023-02-17
193,101.49,93,2023-01-25
194,102.58,24,2023-03-19
195,102.8,77,2023-02-04
196,95.34,95,2023-01-15
197,100.49,3,2023-03-24
198,96.75,23,2023-01-31
199,98.95,3,2023-03-10
200,102.1,86,2023-03-19
201,95.37,62,2023-01-01
202,100.12,70,2023-02-11
203,95.2,81,2023-01-07
204,97.04,2,2023-03-08
205,95.84,99,2023-01-27
206,97.15,65,2023-03-18
207,101.03,12,2023-03-31
208,101.78,13,2023-03-21
209,97.59,94,2023-03-23
210,104.3,56,2023-02-10
211,96.35,21,2023-01-09
212,95.51,17,2023-01-13
213,104.76,38,2023-01-04
214,98.49,87,2023-02-26
215,95.97,79,2023-03-07
216,101.2,26,2023-02-16
217,104.22,16,2023-03-09
218,104.58,9,2023-01-01
219,104.87,15,2023-01-10
220,97.99,69,2023-02-08
221,101.69,56,2023-02-12
222,101.34,73,2023-03-08
223,95.2,12,2023-02-27
224,98.47,61,2023-02-24
225,100.64,3,2023-03-25
226,97.45,27,2023-03-07
227,96.35,87,2023-01-11
228,98.1,48,2023-01-02
229,99.75,53,2023-03-27
230,96.85,11,2023-02-23
231,101.44,80,2023-03-03
232,96.57,95,2023-02-03
233,97.74,28,2023-03-02
234,96.49,20,2023-03-01
235,103.33,51,2023-01-27
236,98.5,23,2023-01-17
237,104.4,62,2023-03-26
238,97.78,82,2023-01-03
239,98.72,26,2023-02-19
240,96.39,31,2023-03-27
241,102.17,68,2023-03-09
242,95.85,45,2023-02-12
243,95.66,66,2023-03-04
244,102.52,79,2023-03-24
245,100.31,30,2023-02-06
246,104.2,46,2023-03-10
247,100.77,57,2023-01-31
248,104.57,97,2023-03-21
249,96.43,26,2023-02-19
250,96.87,14,2023-02-23
251,101.34,32,2023-02-25
252,104.04,55,2023-02-14
253,103.69,4,2023-01-04
254,101.94,89,2023-02-25
255,96.29,70,2023-01-09
256,97.11,1,2023-01-24
257,95.12,1,2023-01-23
258,96.29,98,2023-03-09
259,104.55,60,2023-03-07
260,98.87,54,2023-02-07
261,96.52,19,2023-01-30
262,99.9,59,2023-01-17
263,95.22,35,2023-03-13
264,95.13,4,2023-01-01
265,95.59,19,2023-01-22
266,104.61,67,2023-02-23
267,102.89,24,2023-01-29
268,96.25,77,2023-03-16
269,104.26,33,2023-01-28
270,103.66,1,2023-03-03
271,101.08,20,2023-02-18
272,98.28,43,2023-03-08
273,102.43,90,2023-02-22
274,100.87,89,2023-03-28
275,103.29,29,2023-03-01
276,97.46,36,2023-03-08
277,97.36,55,2023-03-13
278,101.53,87,2023-02-05
279,97.81,66,2023-01-19
280,97.68,55,2023-02-08
281,100.08,90,2023-01-30
282,104.71,61,2023-02-07
283,102.42,84,2023-03-05
284,104.94,82,2023-02-16
285,104.62,83,2023-01-09
286,100.23,21,2023-03-11
287,96.98,71,2023-03-26
288,104.85,9,2023-03-05
289,100.61,37,2023-03-30
290,97.58,36,2023-01-28
291,99.7,32,2023-01-08
292,97.78,93,2023-02-19
293,99.15,92,2023-02-11
294,103.37,58,2023-03-03
295,102.15,97,2023-01-28
296,100.72,28,2023-03-16
297,99.24,6,2023-01-27
298,101.51,92,2023-03-08
299,101.37,38,2023-02-07
300,96.78,90,2023-03-14
301,95.98,25,2023-02-09
302,98.2,41,2023-01-21
303,103.57,61,2023-01-10
304,103.92,39,2023-01-25
305,103.35,89,2023-01-23
306,100.97,86,2023-03-10
307,100.34,40,2023-02-07
308,103.77,15,2023-03-01
309,95.64,70,2023-01-30
310,102.28,75,2023-02-11
311,97.24,66,2023-04-01
312,95.81,17,2023-02-13
313,104.29,19,2023-01-24
314,97.73,95,2023-02-08
315,104.64,49,2023-03-23
316,95.98,55,2023-01-03
317,98.29,57,2023-03-27
318,97.54,76,2023-03-02
319,96.25,44,2023-03-07
320,102.87,11,2023-03-16
321,102.41,97,2023-02-21
322,100.89,66,2023-03-02
323,102.3,92,2023-01-01
324,95.4,55,2023-03-24
325,99.34,49,2023-01-12
326,103.81,13,2023-03-30
327,101.23,83,2023-03-01
328,95.53,99,2023-03-28
329,99.21,13,2023-01-03
330,95.92,13,2023-02-28
331,97.91,57,2023-03-21
332,100.97,85,2023-03-13
333,96.33,44,2023-01-05
