Trade_ID,Price,Quantity,Trade_Date
1,99.12,5,2023-03-02
2,95.99,57,2023-03-26
3,94.84,2,2023-01-15
4,95.43,38,2023-03-12
5,101.3,57,2023-01-27
6,98.45,58,2023-02-03
7,102.51,9,2023-02-26
8,99.53,16,2023-02-04
9,103.27,48,2023-03-20
10,103.96,8,2023-03-04
11,98.62,13,2023-01-08
12,102.21,54,2023-02-13
13,102.06,98,2023-02-22
14,104.05,89,2023-02-22
15,99.79,52,2023-01-22
16,102.06,36,2023-01-16
17,95.71,9,2023-02-03
18,98.62,4,2023-01-05
19,98.76,5,2023-02-10
20,102.86,80,2023-01-05
21,102.12,11,2023-02-23
22,100.86,5,2023-03-13
23,105.22,81,2023-01-01
24,97.92,70,2023-02-10
25,96.52,85,2023-02-23
26,99.36,48,2023-02-12
27,102.82,20,2023-01-28
28,98.45,44,2023-02-20
29,105.38,24,2023-02-05
30,100.56,53,2023-03-17
31,99.41,22,2023-01-22
32,98.28,59,2023-03-01
33,99.34,8,2023-02-15
34,98.98,7,2023-02-08
35,101.61,12,2023-01-19
36,100.11,7,2023-02-01
37,99.51,79,2023-01-07
38,103.64,4,2023-01-27
39,101.12,14,2023-03-21
40,96.44,37,2023-03-16
41,98.74,61,2023-01-08
42,98.93,55,2023-02-26
43,103.49,62,2023-01-06
44,96.21,46,2023-01-01
45,103.41,92,2023-01-28
46,99.22,5,2023-01-15
47,102.42,24,2023-02-01
48,97.67,62,2023-02-09
49,100.08,16,2023-01-10
50,96.17,72,2023-01-05
51,104.07,99,2023-01-09
52,97.0,69,2023-03-27
53,103.88,51,2023-03-11
54,102.73,12,2023-02-11
55,105.42,27,2023-03-13
56,104.03,78,2023-01-10
57,102.12,4,2023-01-19
58,101.37,98,2023-02-25
59,96.06,9,2023-01-24
60,105.51,83,2023-03-03
61,96.77,50,2023-01-09
62,101.98,13,2023-02-26
63,100.3,42,2023-02-02
64,99.22,8,2023-03-24
65,104.39,66,2023-03-30
66,99.16,30,2023-03-19
67,95.17,1,2023-03-28
68,102.61,45,2023-02-08
69,97.49,5,2023-02-04
70,95.34,5,2023-02-09
71,97.16,14,2023-01-21
72,104.69,92,2023-02-17
73,101.17,37,2023-01-02
74,102.94,74,2023-03-25
75,104.39,69,2023-02-21
76,102.77,5,2023-03-05
77,97.07,80,2023-03-11
78,98.97,85,2023-01-09
79,102.2,63,2023-02-02
80,98.38,92,2023-02-14
81,104.23,32,2023-04-01
82,97.06,75,2023-01-24
83,102.65,85,2023-01-09
84,97.34,64,2023-02-25
85,104.16,20,2023-01-05
86,95.43,55,2023-01-29
87,103.92,21,2023-03-04
89,100.49,66,2023-01-14
90,101.5,18,2023-02-20
91,99.09,6,2023-02-12
92,105.26,67,2023-03-12
93,104.16,29,2023-03-06
94,105.08,74,2023-01-30
95,99.1,55,2023-01-29
96,103.06,62,2023-01-30
97,105.25,41,2023-01-15
98,99.82,14,2023-01-18
99,95.52,13,2023-03-03
100,96.24,23,2023-01-25
101,100.27,75,2023-01-25
102,100.85,28,2023-01-18
103,97.2,24,2023-03-19
104,97.27,92,2023-01-15
105,97.15,70,2023-02-05
106,102.9,88,2023-02-25
107,99.81,18,2023-03-11
108,104.03,14,2023-02-27
109,101.0,79,2023-03-01
110,95.84,44,2023-01-13
111,102.22,83,2023-03-28
112,97.13,13,2023-03-16
113,99.05,67,2023-01-19
114,98.06,50,2023-03-18
116,102.39,12,2023-03-11
117,99.91,24,2023-02-04
118,100.03,23,2023-01-12
119,98.63,69,2023-01-18
120,96.67,33,2023-02-05
121,102.46,57,2023-01-13
122,104.17,51,2023-03-27
123,95.5,98,2023-01-17
124,103.01,17,2023-01-27
125,103.32,69,2023-03-11
126,102.09,14,2023-01-01
127,102.82,95,2023-01-11
129,103.3,11,2023-03-03
130,96.16,39,2023-03-28
131,100.79,34,2023-03-04
132,102.22,1,2023-03-10
133,100.25,38,2023-02-04
134,104.8,74,2023-02-03
136,97.53,22,2023-03-10
137,103.44,91,2023-01-18
138,96.93,10,2023-02-05
139,97.24,41,2023-01-07
140,103.62,30,2023-01-19
141,98.52,12,2023-01-31
142,98.27,86,2023-03-17
143,101.62,30,2023-02-20
144,101.83,46,2023-04-01
145,102.04,16,2023-03-22
146,96.35,51,2023-01-13
147,102.49,8,2023-02-21
148,97.46,63,2023-02-02
149,102.75,60,2023-01-12
151,103.6,64,2023-03-01
152,100.67,1,2023-03-07
153,102.34,11,2023-03-25
154,99.28,40,2023-01-05
155,102.21,37,2023-01-29
156,99.52,61,2023-02-26
157,101.49,57,2023-01-12
158,97.94,99,2023-01-19
159,98.71,64,2023-01-25
160,102.16,23,2023-02-04
161,95.74,13,2023-01-08
162,97.31,27,2023-03-01
163,98.68,45,2023-02-07
164,99.55,10,2023-02-27
165,99.71,94,2023-01-30
166,98.98,8,2023-02-06
167,99.63,63,2023-02-11
168,95.01,86,2023-02-26
169,100.75,58,2023-01-22
170,95.55,61,2023-02-28
171,104.02,85,2023-03-28
172,97.27,48,2023-03-19
173,99.76,74,2023-01-17
174,98.29,14,2023-01-18
175,99.66,63,2023-01-03
176,100.02,46,2023-01-23
177,97.22,94,2023-03-12
178,102.57,70,2023-02-14
179,103.69,77,2023-03-10
180,100.22,99,2023-02-13
181,103.75,7,2023-02-23
182,96.41,65,2023-01-14
183,95.89,97,2023-01-12
184,100.81,67,2023-02-21
185,96.93,71,2023-02-08
186,102.82,36,2023-03-20
187,100.9,14,2023-03-19
188,101.29,93,2023-03-31
189,101.86,95,2023-03-15
190,96.47,17,2023-01-31
191,103.12,58,2023-02-19
192,102.97,54,2023-02-17
193,101.17,93,2023-01-25
194,101.56,24,2023-03-19
195,103.82,77,2023-02-04
196,95.81,95,2023-01-15
197,99.69,3,2023-03-24
198,97.38,23,2023-01-31
199,99.0,3,2023-03-10
200,102.82,86,2023-03-19
201,96.03,62,2023-01-01
202,99.49,70,2023-02-11
203,95.47,81,2023-01-07
204,96.11,2,2023-03-08
205,95.47,99,2023-01-27
206,97.64,65,2023-03-18
207,100.65,12,2023-03-31
208,101.41,13,2023-03-21
209,97.44,94,2023-03-23
210,104.23,56,2023-02-10
211,96.0,21,2023-01-09
212,95.25,17,2023-01-13
213,105.6,38,2023-01-04
214,99.22,87,2023-02-26
215,96.56,79,2023-03-07
216,101.59,26,2023-02-16
217,104.85,16,2023-03-09
218,104.95,9,2023-01-01
219,105.5,15,2023-01-10
220,98.16,69,2023-02-08
221,101.46,56,2023-02-12
222,100.84,73,2023-03-08
223,95.2,12,2023-02-27
224,98.78,61,2023-02-24
225,100.85,3,2023-03-25
226,98.39,27,2023-03-07
228,98.67,48,2023-01-02
229,98.94,53,2023-03-27
230,97.63,11,2023-02-23
231,102.18,80,2023-03-03
232,96.29,95,2023-02-03
233,97.47,28,2023-03-02
234,97.03,20,2023-03-01
235,103.29,51,2023-01-27
236,97.7,23,2023-01-17
237,103.71,62,2023-03-26
238,98.31,82,2023-01-03
239,99.68,26,2023-02-19
240,95.56,31,2023-03-27
241,101.21,68,2023-03-09
242,96.53,45,2023-02-12
243,95.38,66,2023-03-04
244,103.26,79,2023-03-24
245,99.42,30,2023-02-06
246,103.93,46,2023-03-10
247,100.07,57,2023-01-31
248,105.49,97,2023-03-21
249,96.83,26,2023-02-19
250,96.06,14,2023-02-23
251,102.26,32,2023-02-25
252,103.24,55,2023-02-14
253,103.81,4,2023-01-04
254,102.36,89,2023-02-25
255,96.39,70,2023-01-09
256,97.01,1,2023-01-24
257,95.46,1,2023-01-23
258,95.86,98,2023-03-09
259,104.43,60,2023-03-07
260,99.44,54,2023-02-07
261,95.66,19,2023-01-30
262,99.72,59,2023-01-17
263,95.74,35,2023-03-13
264,94.51,4,2023-01-01
265,96.22,19,2023-01-22
266,104.68,67,2023-02-23
267,103.57,24,2023-01-29
268,95.77,77,2023-03-16
269,104.18,33,2023-01-28
270,102.83,1,2023-03-03
272,97.32,43,2023-03-08
273,101.6,90,2023-02-22
274,100.94,89,2023-03-28
275,103.16,29,2023-03-01
276,96.94,36,2023-03-08
277,97.01,55,2023-03-13
278,102.02,87,2023-02-05
280,98.6,55,2023-02-08
281,99.27,90,2023-01-30
282,104.28,61,2023-02-07
283,101.45,84,2023-03-05
284,103.89,82,2023-02-16
285,103.61,83,2023-01-09
286,99.49,21,2023-03-11
287,96.91,71,2023-03-26
288,105.71,9,2023-03-05
289,100.95,37,2023-03-30
290,96.69,36,2023-01-28
291,99.58,32,2023-01-08
292,97.49,93,2023-02-19
293,99.92,92,2023-02-11
294,103.0,58,2023-03-03
295,102.91,97,2023-01-28
296,100.21,28,2023-03-16
297,99.32,6,2023-01-27
298,100.74,92,2023-03-08
299,100.45,38,2023-02-07
300,96.1,90,2023-03-14
301,96.28,25,2023-02-09
302,98.71,41,2023-01-21
303,104.55,61,2023-01-10
304,104.39,39,2023-01-25
305,103.25,89,2023-01-23
306,100.01,86,2023-03-10
307,101.28,40,2023-02-07
308,103.25,15,2023-03-01
309,95.77,70,2023-01-30
310,102.44,75,2023-02-11
311,96.66,66,2023-04-01
312,95.19,17,2023-02-13
313,103.61,19,2023-01-24
314,97.86,95,2023-02-08
315,104.6,49,2023-03-23
316,96.36,55,2023-01-03
317,97.86,57,2023-03-27
318,97.01,76,2023-03-02
319,96.32,44,2023-03-07
320,103.01,11,2023-03-16
321,101.79,97,2023-02-21
322,100.16,66,2023-03-02
323,102.47,92,2023-01-01
324,94.61,55,2023-03-24
325,98.67,49,2023-01-12
326,104.06,13,2023-03-30
327,100.53,83,2023-03-01
328,95.12,99,2023-03-28
329,98.36,13,2023-01-03
330,96.67,13,2023-02-28
331,97.4,57,2023-03-21
332,101.66,85,2023-03-13
333,95.42,44,2023-01-05
334,95.53,25,2023-03-26
335,100.93,86,2023-03-16
336,101.36,65,2023-01-22
337,103.47,95,2023-01-21
338,99.52,27,2023-03-29
339,102.56,35,2023-03-02
340,95.65,92,2023-01-25
341,94.58,17,2023-01-12
342,97.84,57,2023-03-06
344,96.0,93,2023-01-24
345,99.94,17,2023-01-30
346,102.91,65,2023-03-12
347,99.89,86,2023-03-20
348,100.39,4,2023-02-19
349,95.65,16,2023-01-21
350,105.05,54,2023-02-08
351,100.94,74,2023-01-11
352,101.6,83,2023-02-10
353,96.8,52,2023-03-04
354,96.63,52,2023-03-31
355,97.46,20,2023-03-27
356,97.01,69,2023-04-01
357,99.27,66,2023-03-09
358,97.16,44,2023-03-02
359,97.29,99,2023-01-10
360,104.55,79,2023-01-29
361,98.43,64,2023-03-10
362,103.82,8,2023-03-29
363,96.32,96,2023-03-10
364,104.45,84,2023-02-03
365,100.95,73,2023-03-03
366,104.54,47,2023-01-28
367,95.17,99,2023-03-09
368,98.45,46,2023-03-03
369,101.71,57,2023-02-19
370,96.39,85,2023-02-27
371,101.03,60,2023-02-11
372,95.47,9,2023-02-12
373,101.24,19,2023-03-13
374,95.19,69,2023-02-25
375,97.22,18,2023-03-30
376,104.7,51,2023-03-14
377,103.79,22,2023-01-20
378,99.69,95,2023-01-24
379,96.47,67,2023-01-24
380,101.71,82,2023-01-24
381,97.63,31,2023-03-13
382,102.04,45,2023-03-22
383,100.61,97,2023-01-16
384,101.04,20,2023-03-23
385,97.14,38,2023-01-06
386,102.99,42,2023-03-07
387,101.27,41,2023-02-20
388,99.51,43,2023-01-22
389,98.21,13,2023-01-26
390,103.57,27,2023-02-24
391,98.34,86,2023-01-12
392,102.79,1,2023-02-20
393,103.7,73,2023-02-23
394,98.97,32,2023-01-18
395,98.65,89,2023-02-08
396,105.77,86,2023-02-06
397,101.93,55,2023-03-17
398,98.87,52,2023-01-22
399,98.8,56,2023-03-15
400,97.91,12,2023-03-04
401,98.86,15,2023-03-17
402,100.68,43,2023-02-22
403,99.6,65,2023-02-09
404,96.22,17,2023-03-04
405,97.78,69,2023-02-22
406,104.11,58,2023-01-06
407,102.72,7,2023-01-06
408,103.83,84,2023-01-12
409,97.06,57,2023-03-02
410,97.63,4,2023-02-04
411,104.37,36,2023-02-23
412,95.63,71,2023-04-01
413,102.73,20,2023-01-27
414,97.3,73,2023-02-14
415,97.82,77,2023-03-08
416,102.54,92,2023-03-13
417,101.84,33,2023-01-22
418,101.7,9,2023-02-14
419,97.3,3,2023-02-22
420,98.57,31,2023-03-30
421,103.81,23,2023-02-03
422,102.83,51,2023-01-08
423,97.37,3,2023-03-23
424,94.73,86,2023-03-04
425,101.69,8,2023-01-23
426,99.58,28,2023-01-06
427,101.57,42,2023-01-07
428,103.13,94,2023-02-20
429,102.21,34,2023-02-22
430,102.63,97,2023-03-26
431,97.3,85,2023-02-02
432,96.0,23,2023-02-04
433,95.99,28,2023-02-14
434,104.12,39,2023-01-07
435,103.26,81,2023-02-16
436,100.67,6,2023-02-04
437,96.23,18,2023-02-07
438,97.28,94,2023-03-29
439,98.73,1,2023-01-19
440,104.58,44,2023-01-09
441,96.21,66,2023-01-21
442,105.73,17,2023-04-01
443,97.04,12,2023-02-11
444,99.98,12,2023-03-24
445,95.45,54,2023-03-07
446,96.96,71,2023-02-19
447,103.27,46,2023-02-07
448,99.69,15,2023-01-24
449,99.26,97,2023-02-11
450,96.81,33,2023-02-04
451,103.78,73,2023-03-30
452,98.63,93,2023-01-14
453,100.34,18,2023-01-30
454,99.54,72,2023-02-26
455,101.09,89,2023-01-03
456,100.15,1,2023-02-19
457,97.06,60,2023-03-07
458,95.14,15,2023-02-22
459,103.9,13,2023-02-11
460,96.19,47,2023-03-10
461,94.84,54,2023-02-01
462,101.09,93,2023-03-20
463,94.65,94,2023-03-27
464,94.69,49,2023-03-13
465,104.11,45,2023-02-11
466,95.59,22,2023-03-15
467,99.04,77,2023-01-16
468,102.31,50,2023-01-28
469,96.96,66,2023-02-02
470,104.83,39,2023-01-25
471,104.54,5,2023-03-20
472,98.34,61,2023-03-31
473,96.7,59,2023-01-11
474,95.72,37,2023-03-11
475,100.04,87,2023-03-09
476,97.46,19,2023-01-18
477,103.21,44,2023-03-30
478,100.97,13,2023-03-21
479,96.48,43,2023-01-17
480,96.76,41,2023-02-23
481,102.37,83,2023-03-09
482,101.11,15,2023-03-10
483,101.2,3,2023-03-10
484,102.22,15,2023-01-10
485,99.04,37,2023-02-11
486,98.21,49,2023-02-18
487,101.9,33,2023-02-23
488,96.9,31,2023-01-17
489,102.37,85,2023-03-22
490,95.93,74,2023-01-21
491,99.28,81,2023-02-08
492,101.42,87,2023-03-28
493,99.47,96,2023-02-20
494,100.41,44,2023-03-28
495,102.99,51,2023-03-28
496,102.61,60,2023-02-21
497,99.35,50,2023-03-05
498,100.86,83,2023-03-30
499,94.7,62,2023-01-09
500,99.91,37,2023-02-27
501,98.0,28,2023-03-01
502,97.48,96,2023-02-04
504,98.28,26,2023-02-21
505,103.41,32,2023-01-29
507,103.79,20,2023-01-21
508,102.75,15,2023-03-12
509,95.27,51,2023-02-01
510,101.44,51,2023-03-10
511,103.87,79,2023-03-08
512,101.5,62,2023-01-10
513,102.35,20,2023-01-09
514,102.59,52,2023-01-26
515,100.08,68,2023-04-01
516,99.37,4,2023-01-19
517,98.77,57,2023-01-05
518,100.38,75,2023-02-25
519,99.12,1,2023-02-22
520,96.09,77,2023-03-05
521,96.71,5,2023-01-29
